IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 16:28:56 | Message: Line:5, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:syntax error, unexpected ')', expecting variable (T_VARIABLE)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 16:29:04 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:43:06 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:44:52 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:46:44 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:46:47 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:46:57 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:47:10 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:48:05 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:51:14 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:51:15 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Use of undefined constant USERID - assumed 'USERID' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:53:01 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\URL' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:53:06 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\URL' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 22:53:53 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Url' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:11:37 | Message: Line:11, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/login.php, Error:syntax error, unexpected '}'
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:21:29 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\URL' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:21:32 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\URL' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 23:21:34 | Message: Line:6, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\URL' not found
